uid,financial_application_rk,retro_date,logit_default,logit_grace03
2485329,63956177,2015-05-17,-2.131608,-1.340717
1294731,69172173,2015-09-20,-3.568747,-0.287239
543638,61523961,2015-02-27,-2.358281,-1.794685
2047248,73557607,2015-12-08,-3.759207,-0.403351
1941661,67928674,2015-08-26,-2.287232,-0.918777
612926,70694345,2015-10-06,-2.647767,-1.155511
1757979,59834321,2015-01-09,-2.186976,-0.287239
884168,67362169,2015-08-13,-2.546894,-0.204119
526020,72700849,2015-11-17,-1.795756,-1.039091
265071,64408869,2015-06-01,-1.852222,-1.053436
662540,71976211,2015-11-02,-2.578003,-1.266273
595910,63830645,2015-05-13,-3.267391,0.063004
561397,73617779,2015-12-09,-4.595119,1.464735
1442771,73872177,2015-12-15,-2.655206,-1.634632
392505,77218635,2016-02-23,-3.321776,-1.055761
483612,78085211,2016-03-13,-4.535844,-0.702392
2608676,61878297,2015-03-12,-2.419578,-0.839715
2290062,61240323,2015-02-17,-2.594008,-0.312132
1026139,73320056,2015-12-02,-2.642089,-1.659876
482996,73367506,2015-12-03,-3.618656,-0.945578
2091642,63983660,2015-05-18,,-0.22748
59397,65604842,2015-07-05,-2.075659,-0.019316
1288718,60417058,2015-01-26,-0.687771,-1.872297
315092,68876456,2015-09-15,-3.223522,0.14885
2386425,78087622,2016-03-13,-3.134924,-1.024408
989340,64490096,2015-06-03,-2.81417,-0.520889
561904,70205094,2015-09-27,,-0.568087
5905,72970462,2015-11-24,-2.108356,-1.283456
1004040,60180991,2015-01-18,-3.57323,-1.569
267283,72491353,2015-11-13,,-0.359555
1326245,62430220,2015-03-30,-0.35085,-0.90606
1108268,71393643,2015-10-21,-3.991813,0.173023
1581901,63532354,2015-05-03,,-1.057274
1342472,72448546,2015-11-12,-4.365501,-0.287239
1678592,76832225,2016-02-15,-2.182173,-0.476817
85841,64092226,2015-05-21,-2.915466,0.054753
745706,73776841,2015-12-13,-2.047481,-1.417522
238339,63715434,2015-05-09,,1.702183
2364044,64856320,2015-06-13,-2.494259,-0.00049
846039,75143401,2016-01-11,-4.022209,-1.033203
562407,68298744,2015-09-03,-3.852141,-1.402281
2388255,62402865,2015-03-29,-3.54788,-0.367766
879612,68590049,2015-09-09,-2.816794,-0.970855
1635345,70398421,2015-09-30,-2.73858,0.223721
186923,68939651,2015-09-16,-2.982911,-0.843708
193812,74212754,2015-12-21,-1.84897,-1.244039
1247996,67441935,2015-08-11,,-0.983826
100946,71549695,2015-10-25,-3.03195,-0.581948
744031,61965661,2015-03-15,-0.417517,-1.454225
1112996,72016653,2015-11-03,-2.014172,-1.046265
1704384,65159317,2015-06-22,-2.762436,-1.014179
2455402,68624038,2015-09-10,-2.519781,-0.952625
583702,71224055,2015-10-17,-1.850716,-0.625297
87644,77086402,2016-02-20,,-1.677729
1318269,70781705,2015-10-08,-3.964139,-0.863986
66842,69803631,2015-09-21,-2.221019,0.270972
419294,74461080,2015-12-26,,-0.368778
795424,60199775,2015-01-19,-2.660218,-1.384152
374895,63149854,2015-04-20,-2.662545,-0.548891
734583,68283166,2015-09-03,-3.008523,-0.030392
617974,70355428,2015-09-29,-2.348644,-0.32828
1356293,63478778,2015-04-30,-2.317393,1.054878
2313793,68556697,2015-09-09,-2.86831,-1.256321
1532245,63664490,2015-05-07,-2.36941,-1.575226
368796,63848054,2015-05-13,,-0.370656
756513,73606093,2015-12-09,-2.122213,-1.490677
949417,67026818,2015-08-04,-3.486425,-0.567896
374338,63769230,2015-05-11,-2.278333,0.191117
647986,66468545,2015-07-22,-2.296366,-1.092173
1931996,60346436,2015-01-23,-2.970661,-0.89593
1150167,64821096,2015-06-12,-2.546154,-0.969901
1597514,72105378,2015-11-05,-2.553189,-1.486518
572472,67810885,2015-08-23,-2.624271,-0.142116
140117,68967501,2015-09-16,-3.732518,-0.173574
2448650,70679246,2015-10-06,-3.374412,-0.946211
2549874,63360053,2015-04-26,-2.935583,-0.316292
1454703,70446726,2015-10-01,-2.69315,-0.527914
541272,73600920,2015-12-09,-2.00137,-0.643629
2426521,66404968,2015-07-21,-2.234785,-0.54923
1161225,62241598,2015-03-24,-2.47102,-2.017642
1759675,67731769,2015-08-21,,-0.141893
2259292,67958212,2015-08-27,-3.021631,-1.496966
1168509,75302444,2016-01-14,-0.686029,-0.833602
2064377,60474042,2015-01-27,-2.141738,-1.107644
1351910,70525669,2015-10-02,-0.260547,-0.770376
458295,67581561,2015-08-19,-2.086112,-2.065575
1674641,61846016,2015-03-11,-2.88836,-0.236488
522663,73076469,2015-11-26,-1.386745,-1.711721
1072290,64060177,2015-05-20,-2.307665,-1.399021
2305610,71178612,2015-10-16,,-0.380671
1202170,72650086,2015-11-16,-4.590066,-0.604024
295785,61606236,2015-03-02,-3.26719,-1.70317
936504,71269421,2015-10-18,-3.09196,-0.812436
198589,72331213,2015-11-10,-2.716802,-0.5608
1043108,70022038,2015-09-24,-1.897802,-0.015801
