uid,retro_date,financial_application_rk,partition,tcs_model_income
3,2015-05-17,63946801,train,44355.356896
26,2015-07-28,66699238,train,10000.0
71,2015-12-06,73488852,train,136676.851580086
111,2015-05-14,63871341,test,10000.0
126,2015-08-20,67642228,train,10000.0
152,2015-11-09,72271295,train,10000.0
157,2015-11-06,72151644,train,63811.657524923
193,2015-03-08,61770941,test,53954.714819356
284,2015-10-11,70918666,train,77970.606432
311,2015-05-01,63488406,train,67238.979458352
321,2015-01-15,60063998,train,55605.880894
360,2015-08-16,67465941,test,10241.97169791
368,2015-11-21,62492271,train,20649.028812
382,2015-02-18,61287030,test,10000.0
399,2015-08-23,67790529,train,58872.683451107
425,2015-09-19,69132863,train,51404.745806
429,2015-08-27,67974932,train,10000.0
477,2015-06-14,64874401,train,40729.854136441
577,2015-09-16,68961282,train,16289.852586
615,2015-02-20,61334809,test,92484.905855945
627,2015-11-26,73048279,train,10000.0
772,2015-05-26,64246602,train,26958.517095549
867,2015-09-02,68239529,train,74010.98912
886,2015-07-26,66615981,test,16085.271619148
896,2015-08-17,67502957,train,10000.0
906,2015-03-14,61947628,train,44236.577374
950,2015-05-27,64277579,train,47162.004686
968,2015-09-21,69815975,test,21765.196704
1031,2015-01-03,59659795,train,10000.0
1064,2015-04-14,62939338,train,67365.177326
1085,2015-09-23,69942817,train,10000.0
1123,2015-08-19,67613530,train,74812.424337127
1134,2015-10-06,70677975,test,16159.525314
1146,2015-09-15,68858273,train,10000.0
1202,2015-11-26,73076317,test,10000.0
1282,2015-09-04,68347195,test,25604.478954
1348,2016-01-04,74841708,out_of_time,17524.809811934
1377,2015-06-04,64523142,train,24231.167516138
1392,2015-06-04,64531977,test,10000.0
1449,2015-12-09,73605504,train,25107.899828
1476,2015-03-19,62094664,train,82765.142212419
1489,2015-07-24,66543757,train,10412.090809898
1493,2015-06-27,65306966,train,37353.342228
1520,2016-02-03,76272455,out_of_time,17958.711403281
1622,2015-09-29,70369440,train,31352.461724
1641,2015-01-29,60525857,train,41892.8599
1648,2015-05-09,63718437,train,11576.802266
1670,2016-02-18,76987774,out_of_time,73722.70009495
1734,2015-11-01,71910906,test,28512.012458
1741,2015-11-15,72591183,test,10000.0
1745,2015-04-28,63404288,test,10000.0
1780,2015-09-09,68571753,train,19565.904924
1781,2015-11-02,71959040,train,15087.138768
1854,2016-01-17,75401769,out_of_time,51004.120796
1878,2015-05-06,63624582,train,129572.93332
1910,2015-10-17,71216524,train,14617.264179419
1976,2015-12-03,73359138,train,30749.654322
2006,2015-01-13,59992348,train,23463.00374
2033,2015-09-25,70059407,train,99441.205464
2070,2015-09-10,68607748,train,25159.414768975
2108,2015-11-23,72937021,train,51181.11128261
2131,2016-01-10,75061555,out_of_time,53566.163954763
2171,2015-04-20,63146607,train,31548.454448
2194,2015-04-05,62610253,train,12963.393828
2234,2015-05-10,63740018,test,11082.259293007
2358,2015-08-25,67884151,test,33593.542074
2360,2015-11-27,73118747,test,10000.0
2365,2015-02-13,61131754,train,27564.349552021
2423,2015-01-21,60281988,train,110347.022469747
2484,2015-11-13,72516128,train,72752.536093209
2485,2015-04-12,62855728,train,35418.87089259
2498,2015-03-08,61754823,train,15600.888634
2653,2015-04-29,63439177,train,10000.0
2661,2015-06-20,65099437,test,33022.841216892
2672,2015-03-06,61714611,train,16545.993011538
2680,2015-03-06,61724326,train,65272.165287575
2728,2015-07-30,66814175,train,20490.110258816
2741,2015-04-13,62874141,train,13863.134304
2833,2015-12-12,73743729,train,51542.58653017
2857,2015-05-27,64265347,train,38670.731846
2965,2015-01-25,60392267,test,17485.60604
3007,2015-03-28,62373650,test,10000.0
3247,2015-09-23,69957867,train,16955.495834098
3283,2015-11-25,73026357,train,77745.385648987
3327,2015-04-05,62613442,train,53394.10459
3331,2015-03-09,61776472,test,10000.0
3338,2015-10-22,71448799,train,23820.241016
3407,2015-09-13,68739864,train,22434.670653164
3431,2015-04-28,63402205,train,33839.433012
3488,2016-01-17,75421802,out_of_time,26269.046028
3490,2015-08-29,68044941,test,69012.086109999
3513,2015-08-02,66912057,train,24830.73126
3544,2015-06-30,65457674,train,63623.994828
3560,2015-09-27,70168429,train,71467.977343999
3611,2015-01-15,60073091,train,39661.212828
3620,2015-07-13,65951809,train,13092.526522
3672,2015-09-08,68505639,train,10524.266148342
3723,2015-03-31,62458621,train,54472.237769446
3811,2015-04-19,63113153,train,27395.650204153
3864,2015-07-07,65707378,train,32685.409700811
3881,2015-06-11,64745285,train,47810.055539036
3927,2015-07-15,66117337,train,24935.612544012
3989,2015-07-01,65475927,train,44273.550366095
4035,2015-04-21,63170737,train,18008.706511771
4038,2015-03-11,61842098,train,22673.482688
4105,2015-05-06,63627778,test,10000.0
4111,2015-07-02,65522168,train,13700.743828
4146,2015-01-23,60348561,train,115207.62429
4182,2015-02-16,61211203,train,36490.655282
4245,2015-03-26,62298186,train,35656.570811243
4284,2015-09-16,68961730,test,56390.085163859
4303,2015-11-10,72330247,train,11975.434082
4321,2015-12-13,73782638,train,54634.323078818
4492,2015-09-28,70253824,train,52907.21260507
4520,2015-05-25,64197885,train,88446.274156808
4530,2016-03-03,77678786,out_of_time,29293.349104
4533,2016-02-15,76817268,out_of_time,11670.964986
4569,2015-09-10,68617548,train,33332.247185467
4599,2015-12-16,73922737,train,43542.964418
4614,2015-08-21,67719510,train,105333.279096274
4623,2015-08-12,67319018,test,90202.40792
4648,2015-05-12,63798353,train,10000.0
4699,2015-03-30,62424154,train,60123.484185097
4717,2015-03-26,62296177,test,38640.105383784
4738,2015-08-05,67041139,train,81149.555217484
4739,2015-09-15,68858092,train,48163.046880686
4793,2015-07-19,66257436,train,18260.216077698
4799,2015-04-05,62618071,train,22274.873525999
4813,2015-01-24,60358807,train,157474.683715999
4901,2015-03-02,61592586,train,20126.975522
4932,2015-11-02,71969888,train,23314.465702
4961,2015-05-04,63393818,train,36215.863092516
4973,2015-05-14,63877933,train,26263.04542
5028,2015-09-01,68204637,train,64098.710527999
5132,2015-01-14,60022858,test,35691.648814
5142,2015-01-21,60267923,train,10000.0
5158,2015-02-05,60761910,test,10000.0
5182,2015-08-17,67519721,test,73423.926626
5226,2015-10-30,71847617,train,15410.877623323
5238,2015-02-08,60850435,train,59812.622222356
5244,2015-11-17,72682749,train,17205.776714
5246,2015-07-16,66140194,train,61528.689488
5247,2015-05-06,63630517,test,43070.631744107
5250,2015-11-19,72777730,train,23914.984828
5288,2015-03-28,62362711,train,33739.791194
5313,2015-07-21,66403365,train,29964.896348239
5428,2015-09-27,70183278,train,26385.699729413
5512,2015-09-16,68939909,test,27312.561798
5588,2015-07-26,66613483,test,43551.327729132
5608,2015-05-24,64168441,train,19316.902828
5616,2015-05-22,64114201,train,10000.0
5648,2016-02-29,77506231,out_of_time,15760.060028
5664,2015-01-14,60027698,train,41730.622954436
5678,2015-01-14,60051806,train,41578.957828
5700,2015-03-02,61600639,train,19143.7699
5703,2015-12-16,73947494,train,29430.646726
5717,2015-02-03,60691775,train,10000.0
5755,2015-09-29,70378656,train,38738.729628
5779,2016-01-21,75626515,out_of_time,10000.0
5816,2015-08-31,68109365,train,48900.538848
5818,2015-01-13,59968821,train,56166.877403818
5873,2016-01-25,75782591,out_of_time,82301.023012
5884,2015-01-09,59835062,test,35445.400141993
5894,2015-02-06,60803585,train,20668.590723067
5905,2015-11-24,72970462,train,10000.0
5906,2015-03-24,62227694,train,21143.75885
5958,2015-01-13,59974056,train,26591.010591461
6042,2015-10-22,71432415,test,104437.36027512
6053,2015-03-25,62280574,train,26902.02274
6074,2015-04-09,62760463,test,18716.104466
6081,2015-03-06,61714568,train,76953.967872139
6106,2015-09-27,70171935,train,22312.597064
6151,2015-05-29,64328961,train,10000.0
6158,2015-06-28,65331940,test,16178.95916
6160,2015-09-19,69131006,train,42292.825039649
6200,2015-10-30,71847495,test,10000.0
6202,2015-01-12,59928420,train,24013.64884
6259,2015-09-21,69812738,train,121944.7462388
6290,2015-01-26,60416816,train,18118.69164
6305,2015-07-05,65612783,train,67397.698982
6321,2015-03-07,61740177,train,23742.597362
6336,2015-05-15,63899528,test,24798.321454586
6357,2015-07-19,66281917,train,12711.904393028
6382,2015-08-15,67436152,train,37785.674568
6439,2015-07-16,66138796,train,20697.002750038
6444,2015-12-03,73366401,train,22219.597528
6473,2015-05-28,64302765,test,16705.024898
6479,2015-03-17,62015162,test,19645.728866376
6497,2015-12-14,73830510,train,25236.047952
6507,2015-04-05,62635164,train,49635.379314427
6511,2015-02-04,60743703,train,29122.578797472
6554,2015-04-29,63437342,train,23398.55024
6556,2015-01-12,59960274,train,21103.092197147
6558,2015-03-30,62422020,train,10000.0
6586,2015-02-03,60669616,test,28887.490754
6654,2015-08-25,67885617,test,12115.61343
6664,2015-10-11,70921024,train,18857.721832
6697,2015-08-12,67319434,test,24347.505023348
6699,2015-10-29,71803526,train,32432.770928
6702,2016-01-13,75214928,out_of_time,41369.46522
6739,2015-10-15,71122444,train,45446.448828
6749,2015-11-11,72411549,train,16241.584689687
6777,2015-10-06,70690349,train,26329.98006082
6794,2015-03-12,61885720,train,25983.507628
6834,2015-06-16,64964834,train,46846.356564
6899,2015-05-24,64178148,test,22267.289558081
6930,2015-09-16,68938649,test,11070.123828
6944,2015-09-28,70248380,train,22237.879314
6950,2015-08-30,68073341,train,74858.119401497
6952,2015-10-30,71838460,train,33668.543522
6989,2015-08-06,67090493,train,15942.000988615
7005,2015-11-02,71952740,train,39877.333004
7013,2015-04-19,63092847,train,24486.57923125
7016,2015-11-22,72906051,train,23924.970498
7074,2015-04-12,62843436,train,20476.382948871
7095,2016-02-18,76985875,out_of_time,10000.0
7107,2015-03-24,62235065,train,10000.0
7126,2015-08-03,66969623,train,14214.667954759
7131,2015-03-20,62108609,train,22457.452026
7148,2015-05-18,63979231,train,10000.0
7149,2015-02-19,61302365,train,51264.790874225
7166,2015-12-10,73647287,train,43512.66185922
7187,2015-02-02,60637031,train,33538.960175491
7211,2015-05-17,63956768,train,10000.0
7239,2015-12-08,73551013,test,26472.28979
7287,2015-05-29,64329130,train,68256.045781999
7341,2015-03-25,62269479,train,29393.854120744
7363,2015-06-17,64991675,test,22795.134974
7441,2015-10-14,71087934,test,36689.974606549
7481,2015-06-28,65334515,train,21532.214523972
7489,2015-07-23,66476572,train,10000.0
7530,2015-05-17,63947851,train,77352.835918301
7556,2015-03-15,61968563,train,10000.0
7569,2015-06-22,65150372,train,26080.142625117
7641,2015-08-12,67336208,train,34524.983324213
7656,2015-11-04,72040142,test,25571.293919135
7667,2015-07-27,66643587,train,40729.735344165
7707,2015-12-27,74494695,train,29801.522130765
7743,2015-09-23,69934151,train,10000.0
7755,2015-01-04,59685226,train,73546.650894
7816,2015-07-15,66110057,train,15376.039055162
7851,2015-01-20,60249081,train,21596.38545
7892,2015-10-26,71598011,train,43554.925032
7902,2015-10-05,70647343,train,37104.361498
7929,2015-09-15,68883056,train,10000.0
7936,2015-10-11,70943772,train,34304.85025
8045,2015-06-24,65215794,train,27094.088063343
8063,2015-05-28,64304290,train,84041.519838687
8075,2015-10-26,71596124,train,36073.96164
8092,2015-09-13,68758899,train,74310.295795551
8137,2016-03-22,78578031,out_of_time,27779.616846909
8157,2015-06-21,65122477,train,10000.0
8158,2015-07-30,66811589,train,31957.036418119
8165,2015-04-03,62558655,train,38269.23613894
8187,2015-03-11,61844219,test,20446.818
8201,2015-09-01,68210258,test,60072.816720748
8210,2015-06-17,64999927,test,10000.0
8342,2015-02-24,61424554,train,47864.796424788
8381,2015-06-02,64465156,train,10000.0
8418,2015-08-06,67098016,train,10000.0
8437,2015-01-18,60179042,train,13110.75058
8538,2015-08-12,67334035,test,10000.0
8576,2015-02-16,61198906,train,43711.943376
8606,2015-11-30,73243204,train,48803.486001677
8625,2015-03-10,61818216,train,33347.911804
8638,2015-04-25,63318367,train,23039.904796
8664,2015-09-22,69866271,test,59324.706878308
8682,2015-12-07,73503450,train,75849.770267212
8798,2015-06-12,64808972,train,31041.223930378
8800,2015-08-31,68110076,train,39211.166855776
8934,2015-06-23,65182397,train,34196.140143761
8979,2015-06-22,65155572,train,38185.85272834
9019,2015-08-13,67370148,test,10000.0
9034,2015-09-07,68489703,train,19391.159176
9070,2015-08-10,67230714,train,10000.0
9114,2015-09-23,69952490,train,37703.293828
9197,2015-05-13,63829719,train,10000.0
9250,2015-10-22,71433444,train,29860.902959272
9255,2015-08-07,67132797,train,41323.070496
9263,2015-03-25,62283141,train,33475.706378253
9278,2015-08-09,67195800,train,10403.900554
9338,2015-11-24,72978331,train,61266.544680504
9414,2015-11-04,72059278,train,31633.88413353
9468,2015-03-06,61721632,train,37060.570386
9561,2015-04-12,62849557,test,10000.0
9568,2015-03-16,61984821,train,13170.166828
9636,2015-10-25,71551178,train,33937.592828
9687,2015-10-20,71336166,train,62970.252715264
9699,2015-05-06,63624795,train,22721.746068
9711,2015-02-22,61373704,train,16726.673828
9728,2015-12-17,73999736,train,10000.0
9773,2015-01-25,60409468,train,35829.805903219
9804,2015-08-03,66952478,train,45790.357184
9829,2015-07-07,65676795,train,15244.805322162
9842,2015-05-24,64163301,train,31060.860438171
9844,2015-03-21,62141299,train,40029.687242597
9845,2015-07-01,65463821,train,27019.141874778
9881,2015-06-05,64552312,train,21707.064522
9912,2016-02-13,76728751,out_of_time,32545.503348
9961,2015-01-25,60382801,test,17380.377358
9962,2015-04-25,63308608,train,38937.681042
9970,2015-01-12,59928617,train,10000.0
9977,2015-04-19,63101700,test,15597.039256
9982,2015-04-17,63033828,train,15954.699118
10042,2015-08-21,67714784,train,10422.053802519
10048,2015-09-02,68229073,train,10000.0
10062,2015-12-08,73575755,train,28433.575106713
10068,2015-06-02,64457741,train,20135.30957
10099,2015-10-25,71551149,train,58645.202194748
10154,2015-03-03,61629937,test,89443.386117353
10190,2015-12-04,73394250,train,57938.420448804
10210,2015-06-21,65132505,train,40091.108476748
10213,2015-01-28,60494366,train,54016.014432774
10218,2015-02-15,61176179,train,42859.320364966
10274,2015-09-15,68890196,train,17610.387074
10286,2015-12-04,73408128,train,29445.013960462
10294,2015-12-06,73464662,train,10250.943356
10298,2016-02-06,76398757,out_of_time,11313.723046
10301,2015-07-28,66704048,train,13386.68589
10323,2015-09-19,69133094,test,38679.83124
10364,2015-08-20,67642652,test,13297.844644832
10413,2015-10-31,71879535,train,19626.208916
10487,2015-04-07,62696104,train,18907.793774
10603,2015-11-04,72071718,train,22566.089676
10636,2015-11-05,72114124,train,10000.0
10659,2015-09-29,70374138,train,54345.582520098
10722,2015-09-12,68688747,test,23696.640828
10783,2015-04-25,63317963,train,26945.310028
10880,2016-01-18,75470464,out_of_time,19463.451824
10953,2015-04-22,63210644,train,39159.398968406
10978,2015-09-30,70428181,train,28409.40075
10988,2015-11-19,72776311,test,56821.949334541
11054,2015-11-06,72133718,train,35679.83124
11095,2015-11-30,73229068,train,35588.48035
11171,2015-02-14,61147410,train,10000.0
11230,2015-11-20,72832499,train,62579.163348
11240,2015-05-30,64361105,train,11213.131752
11317,2015-08-03,66982896,train,49908.803028
11354,2015-08-06,67086360,train,21346.375192
11379,2015-06-14,64879317,train,11925.51835
11405,2015-12-16,73932445,test,53919.468979261
11432,2015-04-16,62999562,train,21342.876306
11481,2015-05-07,63679345,train,23120.434348
11501,2015-08-07,67130400,train,10000.0
11515,2016-02-21,77116694,out_of_time,33401.379708387
11638,2015-09-16,68959691,train,49977.034602088
11645,2015-08-22,67759514,train,19361.424366928
11666,2015-09-08,68523121,test,42813.563744846
11690,2015-02-06,60804604,train,29418.601428333
11703,2015-11-11,72396671,train,52603.649694
11763,2015-05-24,64177977,test,35984.299638
11766,2015-02-24,61428734,test,27719.694238443
11779,2015-11-18,72736176,train,10000.0
11837,2015-03-17,62015310,train,22965.250688
11854,2015-01-18,60176726,train,30507.779834348
11903,2015-04-29,63449837,train,13851.15746449
12032,2015-07-15,66092867,train,27595.727952
12088,2015-09-20,69161885,train,16821.112581984
12130,2015-11-19,72776815,train,10000.0
12138,2015-03-21,62139350,train,75865.132323293
12188,2015-03-09,61792017,test,10440.368828
12236,2015-05-25,64197694,train,39430.405286
12244,2015-02-22,61386582,test,16425.057452
12268,2015-09-13,68761184,test,10000.0
12275,2015-09-14,68831004,test,13677.349068455
